銷售分類,銷售商品名稱,販售規格,禮盒／組合判定,建議組成類型,銷售商品SKU_正式,組成項次,對應內包裝成品SKU,對應內包裝成品名稱,每1單位銷售商品需用內包裝數量,內包裝扣帳單位,是否需要外包裝組裝,外包裝材料SKU,外包裝材料名稱,外包裝材料數量,外包裝扣帳單位,備註,對應內包裝成品SKU_建議,對應內包裝成品名稱_建議,內包裝單位1_建議,內包裝單位2_建議
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,6,C2001,瓦片-紅茶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,7,Q1001,奶油-焦糖牛奶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,8,Q2001,奶油-法國巧克力-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,9,G1001,西點-巧克力貝殼-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,10,G2001,西點-咖啡小花-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,11,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,12,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,13,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,14,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,15,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,1,A1,豆塔-蔓越莓,5,個,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,2,H1,雪花餅-蔓越莓,3,個,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,3,H2,雪花餅-巧克力,3,個,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,4,C1001,瓦片-原味-單片,2,片,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,5,C2001,瓦片-紅茶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,6,Q1001,奶油-焦糖牛奶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,7,Q2001,奶油-法國巧克力-單片,2,片,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,8,G1001,西點-巧克力貝殼-單片,2,片,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,9,G2001,西點-咖啡小花-單片,2,片,是,,,,,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,10,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,11,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,12,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,13,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,戀戀雪花禮盒,禮盒,禮盒,gift_box,L10010,14,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,1,A1,豆塔-蔓越莓,5,個,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,2,M1,瑪德蓮-蜂蜜,3,個,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,3,M2,瑪德蓮-巧克力,1,個,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,4,M3,瑪德蓮-紅茶,1,個,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,5,K4001,咖啡-黃金曼巴-單包,2,包,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,6,K3001,咖啡-阿拉比卡-單包,2,包,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,7,K1001,咖啡-巴西席拉朵日曬-單包,2,包,是,,,,,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,8,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,9,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,10,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,11,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,午後漫步禮盒,禮盒,禮盒,gift_box,L10011,12,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,1,A1,豆塔-蔓越莓,5,個,是,,,,,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,2,H1,雪花餅-蔓越莓,2,個,是,,,,,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,3,H2,雪花餅-巧克力,2,個,是,,,,,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,4,H3,雪花餅-金沙,2,個,是,,,,,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,5,P1,土鳳梨酥(紅點),3,個,是,,,,,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,6,P2,鳳凰酥,3,個,是,,,,,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,7,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,8,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,9,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,10,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,那年花開禮盒,禮盒,禮盒,gift_box,L10012,11,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,1,M1,瑪德蓮-蜂蜜,3,個,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,2,M2,瑪德蓮-巧克力,1,個,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,3,M3,瑪德蓮-紅茶,1,個,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,4,H1,雪花餅-蔓越莓,3,個,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,5,H2,雪花餅-巧克力,3,個,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,6,C1001,瓦片-原味-單片,2,片,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,7,C2001,瓦片-紅茶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,8,Q1001,奶油-焦糖牛奶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,9,Q2001,奶油-法國巧克力-單片,2,片,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,10,G1001,西點-巧克力貝殼-單片,2,片,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,11,G2001,西點-咖啡小花-單片,2,片,是,,,,,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,12,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,13,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,14,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,15,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,花間逸韻禮盒,禮盒,禮盒,gift_box,L10013,16,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,1,C1001,瓦片-原味-單片,4,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,2,C2001,瓦片-紅茶-單片,4,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,3,C3001,瓦片-巧克力-單片,4,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,4,Q1001,奶油-焦糖牛奶-單片,3,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,5,Q2001,奶油-法國巧克力-單片,3,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,6,Q3001,奶油-蜂蜜檸檬-單片,3,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,7,G1001,西點-巧克力貝殼-單片,3,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,8,G2001,西點-咖啡小花-單片,3,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,9,G3001,西點-藍莓小花-單片,3,片,是,,,,,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,10,,,,,是,PK0001,紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,11,,,,,是,PK0007,大底板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-香榭漫遊禮盒,禮盒,禮盒,gift_box,L20001,12,,,,,是,PK0011,隔板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,1,A1,豆塔-蔓越莓,3,個,是,,,,,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,2,H1,雪花餅-蔓越莓,3,個,是,,,,,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,3,H2,雪花餅-巧克力,3,個,是,,,,,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,4,C1001,瓦片-原味-單片,4,片,是,,,,,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,5,C2001,瓦片-紅茶-單片,4,片,是,,,,,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,6,C3001,瓦片-巧克力-單片,4,片,是,,,,,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,7,,,,,是,PK0001,紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,8,,,,,是,PK0007,大底板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-晨曦物語禮盒,禮盒,禮盒,gift_box,L20002,9,,,,,是,PK0011,隔板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-金緻典藏禮盒,禮盒,禮盒,gift_box,L20003,1,A1,豆塔-蔓越莓,3,個,是,,,,,,,,,
紙盒禮盒,輕-金緻典藏禮盒,禮盒,禮盒,gift_box,L20003,2,B1,堅果塔-蜂蜜,3,個,是,,,,,,,,,
紙盒禮盒,輕-金緻典藏禮盒,禮盒,禮盒,gift_box,L20003,3,B4,堅果塔-海苔,3,個,是,,,,,,,,,
紙盒禮盒,輕-金緻典藏禮盒,禮盒,禮盒,gift_box,L20003,4,,,,,是,PK0001,紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-金緻典藏禮盒,禮盒,禮盒,gift_box,L20003,5,,,,,是,PK0007,大底板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-金緻典藏禮盒,禮盒,禮盒,gift_box,L20003,6,,,,,是,PK0011,隔板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-月光序曲禮盒,禮盒,禮盒,gift_box,L20004,1,A1,豆塔-蔓越莓,3,個,是,,,,,,,,,
紙盒禮盒,輕-月光序曲禮盒,禮盒,禮盒,gift_box,L20004,2,P1,土鳳梨酥(紅點),3,個,是,,,,,,,,,
紙盒禮盒,輕-月光序曲禮盒,禮盒,禮盒,gift_box,L20004,3,P2,鳳凰酥,3,個,是,,,,,,,,,
紙盒禮盒,輕-月光序曲禮盒,禮盒,禮盒,gift_box,L20004,4,,,,,是,PK0001,紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-月光序曲禮盒,禮盒,禮盒,gift_box,L20004,5,,,,,是,PK0007,大底板-紙盒-禮盒,1,個,,,,,
紙盒禮盒,輕-月光序曲禮盒,禮盒,禮盒,gift_box,L20004,6,,,,,是,PK0011,隔板-紙盒-禮盒,1,個,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,1,K4001,咖啡-黃金曼巴-單包,10,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,2,K2001,咖啡-日式藍山-單包,10,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,3,K3001,咖啡-阿拉比卡-單包,10,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,4,K1001,咖啡-巴西席拉朵日曬-單包,10,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,5,,,,,是,PK0002,紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,6,,,,,是,PK0005,大底板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡 - 綜合,40包盒裝,組合／綜合,bundle,K00040,7,,,,,是,PK0009,隔板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,1,K4001,咖啡-黃金曼巴-單包,15,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,2,K2001,咖啡-日式藍山-單包,15,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,3,K3001,咖啡-阿拉比卡-單包,15,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,4,K1001,咖啡-巴西席拉朵日曬-單包,15,包,是,,,,,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,5,,,,,,PK0003,紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,6,,,,,,PK0006,大底板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡 - 綜合,60包盒裝,組合／綜合,bundle,K00060,7,,,,,,PK0010,隔板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,40包盒裝,否,bundle,K40040,1,K4001,咖啡-黃金曼巴-單包,40,包,是,,,,,,,,,
濾掛咖啡,咖啡-黃金曼巴,40包盒裝,否,bundle,K40040,2,,,,,,PK0002,紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,40包盒裝,否,bundle,K40040,3,,,,,,PK0005,大底板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,40包盒裝,否,bundle,K40040,4,,,,,,PK0009,隔板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,60包盒裝,否,bundle,K40060,1,K4001,咖啡-黃金曼巴-單包,60,包,是,,,,,,,,,
濾掛咖啡,咖啡-黃金曼巴,60包盒裝,否,bundle,K40060,2,,,,,,PK0003,紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,60包盒裝,否,bundle,K40060,3,,,,,,PK0006,大底板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,60包盒裝,否,bundle,K40060,4,,,,,,PK0010,隔板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-黃金曼巴,單包,否,no_inner_stage,K40001,1,K4001,咖啡-黃金曼巴-單包,1,包,否,,,,,,,,,
濾掛咖啡,咖啡-日式藍山,40包盒裝,否,bundle,K20040,1,K2001,咖啡-日式藍山-單包,40,包,是,,,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,40包盒裝,否,bundle,K20040,2,,,,,,PK0002,紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,40包盒裝,否,bundle,K20040,3,,,,,,PK0005,大底板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,40包盒裝,否,bundle,K20040,4,,,,,,PK0009,隔板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,60包盒裝,否,bundle,K20060,1,K2001,咖啡-日式藍山-單包,60,包,是,,,,,,,,,
濾掛咖啡,咖啡-日式藍山,60包盒裝,否,bundle,K20060,2,,,,,,PK0003,紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,60包盒裝,否,bundle,K20060,3,,,,,,PK0006,大底板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,60包盒裝,否,bundle,K20060,4,,,,,,PK0010,隔板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-日式藍山,單包,否,no_inner_stage,K20001,1,K2001,咖啡-日式藍山-單包,1,包,否,,,,,,,,,
濾掛咖啡,咖啡-阿拉比卡,40包盒裝,否,bundle,K30040,1,K3001,咖啡-阿拉比卡-單包,40,包,是,,,,,,,,,
濾掛咖啡,咖啡-阿拉比卡,40包盒裝,否,bundle,K30040,2,,,,,,PK0002,紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-阿拉比卡,40包盒裝,否,bundle,K30040,3,,,,,,PK0005,大底板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-阿拉比卡,40包盒裝,否,bundle,K30040,4,,,,,,PK0009,隔板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-阿拉比卡,60包盒裝,否,bundle,K30060,1,K3001,咖啡-阿拉比卡-單包,60,包,是,,,,,,,,,
濾掛咖啡,咖啡-阿拉比卡,60包盒裝,否,bundle,K30060,2,,,,,,PK0003,紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-阿拉比卡,60包盒裝,否,bundle,K30060,3,,,,,,PK0006,大底板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-阿拉比卡,60包盒裝,否,bundle,K30060,4,,,,,,PK0010,隔板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-阿拉比卡,單包,否,no_inner_stage,K30001,1,K3001,咖啡-阿拉比卡-單包,1,包,否,,,,,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,40包盒裝,否,bundle,K10040,1,K1001,咖啡-巴西席拉朵日曬-單包,40,包,是,,,,,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,40包盒裝,否,bundle,K10040,2,,,,,,PK0002,紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,40包盒裝,否,bundle,K10040,3,,,,,,PK0005,大底板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,40包盒裝,否,bundle,K10040,4,,,,,,PK0009,隔板-紙盒-咖啡40,1,個,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,60包盒裝,否,bundle,K10060,1,K1001,咖啡-巴西席拉朵日曬-單包,60,包,是,,,,,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,60包盒裝,否,bundle,K10060,2,,,,,,PK0003,紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,60包盒裝,否,bundle,K10060,3,,,,,,PK0006,大底板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,60包盒裝,否,bundle,K10060,4,,,,,,PK0010,隔板-紙盒-咖啡60,1,個,,,,,
濾掛咖啡,咖啡-巴西席拉朵日曬,單包,否,no_inner_stage,K10001,1,K1001,咖啡-巴西席拉朵日曬-單包,1,包,否,,,,,,,,,
